,franchise,name,city,address,phone
58,Вкусно — и точка,Ex.McDonalds,"Московская обл, Реутов","ул МКАД 3 км, дом 3",+7 498 661-80-02
59,Вкусно — и точка,Ex.McDonalds,"Московская обл, Красногорск","б-р Красногорский, дом 1",+7 495 746-81-30
60,Вкусно — и точка,Ex.McDonalds,"Московская обл, Звенигород","ул Московская, дом 30",+7 495 597-11-95
61,Вкусно — и точка,Ex.McDonalds,"Московская обл, Щёлково","пр-кт Пролетарский, дом 9, корпус 1",+7 496 567-16-42
62,Вкусно — и точка,Ex.McDonalds,"Московская обл, Ступино","ул Пристанционная, дом 1",+7 496 647-09-06
63,Вкусно — и точка,Ex.McDonalds,"Московская обл, Серпухов","ш Московское, владение 55",+7 496 737-15-66
64,Вкусно — и точка,Ex.McDonalds,"Московская обл, рп Селятино",дом 100М,+7 499 940-08-86
65,Вкусно — и точка,Ex.McDonalds,"Московская обл, Пушкино","ул Красноармейское шоссе, строение 91",+7 496 533-63-82
66,Вкусно — и точка,Ex.McDonalds,"Московская обл, Красногорск","ш Путилковское, дом 2, строение 1",+7 499 657-99-02
67,Вкусно — и точка,Ex.McDonalds,"Московская обл, Луховицы","ул Куйбышева, дом 67",+7 496 639-43-30
68,Вкусно — и точка,Ex.McDonalds,"Московская обл, Домодедово","км 43-й, строение 4",+7 495 664-24-42
